Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,67
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,104
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,28
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1806
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,259
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,199
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,528
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,104
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,5,Cannot speak Irish,10424
N09000010,"Newry, Mourne and Down",3,Prefer not to say/Not stated,-8,No code required,0
N09000010,"Newry, Mourne and Down",-8,No code required,1,Can speak Irish: Speaks Irish daily,1449
N09000010,"Newry, Mourne and Down",-8,No code required,2,Can speak Irish: Speaks Irish weekly,1326
N09000010,"Newry, Mourne and Down",-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,768
N09000010,"Newry, Mourne and Down",-8,No code required,4,Can speak Irish: Never speaks Irish,87
N09000010,"Newry, Mourne and Down",-8,No code required,5,Cannot speak Irish,29617
N09000010,"Newry, Mourne and Down",-8,No code required,-8,No code required,6832
N09000011,Ards and North Down,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,344
N09000011,Ards and North Down,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,239
N09000011,Ards and North Down,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,903
N09000011,Ards and North Down,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,395
N09000011,Ards and North Down,1,Straight or heterosexual,5,Cannot speak Irish,120268
N09000011,Ards and North Down,1,Straight or heterosexual,-8,No code required,0
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,28
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,21
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,37
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,5
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2528
N09000011,Ards and North Down,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000011,Ards and North Down,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,54
N09000011,Ards and North Down,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,26
N09000011,Ards and North Down,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,81
N09000011,Ards and North Down,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,43
N09000011,Ards and North Down,3,Prefer not to say/Not stated,5,Cannot speak Irish,9019
N09000011,Ards and North Down,3,Prefer not to say/Not stated,-8,No code required,0
N09000011,Ards and North Down,-8,No code required,1,Can speak Irish: Speaks Irish daily,93
N09000011,Ards and North Down,-8,No code required,2,Can speak Irish: Speaks Irish weekly,74
N09000011,Ards and North Down,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,47
N09000011,Ards and North Down,-8,No code required,4,Can speak Irish: Never speaks Irish,12
N09000011,Ards and North Down,-8,No code required,5,Cannot speak Irish,24791
N09000011,Ards and North Down,-8,No code required,-8,No code required,4651
